,postcode,loneliness_zscore,ranked,deciles
600,ML29AX,0.29691764506958074,449.0,6
601,ML30DR,1.0714682420692432,530.0,7
602,ML30NQ,-2.8116850266487314,88.0,1
603,ML37EN,3.3582012220350395,661.0,8
604,ML37JY,-0.6495851600763267,317.0,4
605,ML37QQ,-0.6373208058328259,318.0,4
606,ML38AA,0.1729465191135066,434.0,5
607,ML39AQ,-2.2937819810376983,128.0,1
608,ML39TZ,-0.3666640867010351,357.0,4
609,ML41DQ,-1.3490551080056215,230.0,3
610,ML41PS,-3.8326026116931677,27.0,0
611,ML41QD,0.9379097327453628,524.0,7
612,ML52RY,2.1276834286652764,606.0,8
613,ML53AP,-1.424645500819448,225.0,3
614,ML53BJ,0.3238684393256913,453.0,6
615,ML54BY,-0.13458921502455812,388.0,5
616,ML66DB,-1.07748567621121,259.0,3
617,ML68SR,-0.9193631052539923,286.0,3
618,ML74AR,-3.781969816444579,29.0,0
619,ML74DS,-4.038467989931055,20.0,0
620,ML75DS,-3.3584552861750208,50.0,0
621,ML75QE,-0.8696846490014286,293.0,3
622,ML84BA,-3.60977589991561,37.0,0
623,ML91EX,1.8354240196066405,595.0,8
624,ML91RJ,0.5774177397346135,484.0,6
625,ML92BJ,0.8199891781852281,510.0,6
626,PA11SU,-3.726957410933255,30.0,0
627,PA11UB,-1.0191903924060328,268.0,3
628,PA124AH,-0.4086390506784021,351.0,4
629,PA12PS,-3.9927175979198286,21.0,0
630,PA134AP,0.588613251079904,486.0,6
631,PA134LE,-0.15334169197078265,384.0,5
632,PA13QS,-0.925529905504146,283.0,3
633,PA145EW,-0.7252510943496139,309.0,4
634,PA145UD,-2.379899890523629,119.0,1
635,PA154DG,-2.6639153464784484,96.0,1
636,PA154NH,-1.466213142792212,219.0,2
637,PA168HW,-1.0479646643859177,267.0,3
638,PA175AR,2.390678656269522,626.0,8
639,PA191AQ,0.2074772325188774,435.0,5
640,PA209JL,0.40400494372276985,468.0,6
641,PA212BE,6.277166300701659,718.0,9
