postcode,loneliness_zscore,ranked,deciles
EH530EW,-0.17158615025179558,389.0,5
EH53AH,-1.5430569398333707,205.0,2
EH53EL,0.08530052871505642,423.0,5
EH545DY,-3.557773384667679,50.0,0
EH546QQ,-0.8527373549448863,299.0,4
EH546TP,-3.8027973135747914,37.0,0
EH548PY,-0.6513220029508883,317.0,4
EH549JZ,2.530096706164014,624.0,8
EH558EJ,-1.131236224040439,260.0,3
EH64EG,1.9899872694754115,604.0,8
EH64NY,-2.694928852316225,101.0,1
EH65JA,0.5202394487513708,475.0,6
EH66TL,-0.9800081785589465,281.0,3
EH68BW,1.6669598555044323,580.0,7
EH68HQ,3.9017238822737053,669.0,9
EH74AT,0.08472161072836881,422.0,5
EH75EG,0.04219067538001431,415.0,5
EH76RU,0.9269189978757808,513.0,6
EH76UJ,2.050123073606958,607.0,8
EH87RX,1.8644678669573849,596.0,8
EH89AL,-0.3018699337349089,372.0,5
EH89DX,1.2780413175609882,549.0,7
EH89RU,-0.1080298388782015,396.0,5
EH91AG,1.969953643146703,603.0,8
EH91JA,4.760290129238208,687.0,9
EH91JZ,0.9894315415210437,521.0,7
FK103JQ,-2.5148593281694245,115.0,1
FK104JA,-0.8726726133408909,296.0,4
FK11BA,-1.1570968080285926,256.0,3
FK125BD,0.26181592005323395,443.0,6
FK136AG,-0.759227706173717,311.0,4
FK13EZ,-3.667583205106375,43.0,0
FK147AA,-1.8069436047036658,175.0,2
FK14PP,1.5141107898479715,567.0,7
FK159AL,2.6766869798413095,630.0,8
FK15SU,-1.1820313862352188,253.0,3
FK166DU,1.8800151478102787,597.0,8
FK178LX,2.4741251428749456,620.0,8
FK20XF,-0.20743617084119892,385.0,5
FK218TQ,0.9999888251512103,522.0,7
FK27AZ,-1.592119711858811,201.0,2
FK27ES,-1.660984371753365,191.0,2
FK27HR,0.17040135004544193,429.0,5
FK27TA,-4.1112232261323545,27.0,0
FK38AN,0.9293971573510992,515.0,7
FK41ED,-0.6597580831551582,316.0,4
FK53BB,-0.12789566218324044,393.0,5
FK54HT,-2.9115549605258493,83.0,1
FK66DB,-0.10948615772026593,394.0,5
FK66GD,-1.3064269805511484,239.0,3
FK70HW,1.035012937759849,525.0,7
FK77JD,-0.31045804352085193,368.0,5
FK78DW,0.5636649048036378,480.0,6
FK81PH,-2.0773510135356137,151.0,2
FK82AU,0.5055053925028912,472.0,6
FK82QD,1.1435529025986984,536.0,7
FK83DZ,2.4934053127745566,623.0,8
FK83NB,1.2921216952422667,550.0,7
FK94EU,5.874013151718897,706.0,9
