lsoa21_code,loneliness_zscore,rank,deciles
W01000446,-3.274177404810311,92.0,0.0
W01000447,-4.1327538732379585,49.0,0.0
W01000448,3.084953004828985,1883.0,9.0
W01000449,2.6055122991553805,1838.0,9.0
W01000450,-1.081457459163522,339.0,1.0
W01000451,-1.0220834299288224,361.0,1.0
W01000452,-1.9889594304757328,182.0,0.0
W01000453,-4.346268261711173,39.0,0.0
W01000454,-2.3558820147746764,146.0,0.0
W01000455,-2.0137085277468842,181.0,0.0
W01000456,-1.2228509819685427,309.0,1.0
W01000457,0.43875067389109385,900.0,4.0
W01000458,1.2758652479306565,1437.0,7.0
W01000459,-1.375180219632905,275.0,1.0
W01000460,0.2845048096020998,808.0,4.0
W01000461,0.692038545300045,1052.0,5.0
W01000464,0.36121852617617206,857.0,4.0
W01000465,1.4597739651369337,1502.0,7.0
W01000466,-2.9152664333811353,111.0,0.0
W01000467,-4.322593091230962,40.0,0.0
W01000470,1.1704753720460694,1383.0,7.0
W01000471,-1.610006534542588,229.0,1.0
W01000472,-2.2206210635196535,163.0,0.0
W01000473,2.0353333507095637,1715.0,8.0
W01000474,-1.8031847854380116,201.0,1.0
W01000475,-0.1435856793841904,626.0,3.0
W01000476,-0.027013271489290072,667.0,3.0
W01000477,-1.829003275212867,195.0,1.0
W01000478,-4.910851309878394,26.0,0.0
W01000479,-2.9801923789702274,105.0,0.0
W01000480,-5.3615792836945575,15.0,0.0
W01000481,-6.909595261949091,4.0,0.0
W01000482,-6.710797475087975,5.0,0.0
W01000483,-4.690348155884729,29.0,0.0
W01000484,-0.02066733643460758,669.0,3.0
W01000485,3.757838581378821,1897.0,9.0
W01000486,4.600448244712727,1901.0,9.0
W01000487,-0.7489164380176695,435.0,2.0
W01000488,-3.514344705142339,70.0,0.0
W01000489,-4.303371600854899,42.0,0.0
W01000492,-6.240109416278926,6.0,0.0
W01000493,-5.5872815323740905,13.0,0.0
W01000494,-4.248226697670165,44.0,0.0
W01000496,0.5337988445663522,956.0,5.0
W01000497,-0.7664870835031593,429.0,2.0
W01000498,-0.5073830275799678,508.0,2.0
W01000499,0.3855900744899747,872.0,4.0
W01000500,-0.13869463494148185,627.0,3.0
W01000501,0.03597355044558092,689.0,3.0
W01000502,-1.263852807860648,300.0,1.0
W01000503,-3.6156373140085365,65.0,0.0
W01000504,-3.6576414142565046,63.0,0.0
W01000505,-1.0548985376065567,348.0,1.0
W01000506,-0.20742237967916097,605.0,3.0
W01000507,-0.5207463118432185,501.0,2.0
W01000508,-0.463353346051753,520.0,2.0
W01000509,1.4947889162785597,1515.0,7.0
W01000510,1.5625237419042755,1547.0,8.0
W01000511,1.2575430799259257,1430.0,7.0
W01000512,-2.701763904094825,123.0,0.0
W01000513,-0.6183672145480402,472.0,2.0
W01000515,-1.5380883573891588,244.0,1.0
W01000516,-1.6136112529288253,226.0,1.0
W01000517,-0.7005143724531075,448.0,2.0
W01000518,-1.6030789093301792,232.0,1.0
W01000519,-0.8573534763669117,406.0,2.0
W01000522,-1.311585307928092,288.0,1.0
W01000523,-1.5740911801248139,237.0,1.0
